organism_name,antibiotic_name,antibiotic_route,isolates,value,sample_info,row,column
Escherichia coli,AMOX/CLAV,PO,525,82,#N/A,1,1
Klebsiella pneumoniae,AMOX/CLAV,PO,113,96,#N/A,2,1
Proteus mirabilis,AMOX/CLAV,PO,47,100,#N/A,3,1
Escherichia coli,AMPICILLIN,IV/PO,525,55,#N/A,1,2
Proteus mirabilis,AMPICILLIN,IV/PO,47,74,#N/A,3,2
Escherichia coli,AZTREONAM,IV,525,91,#N/A,1,3
Klebsiella pneumoniae,AZTREONAM,IV,113,98,#N/A,2,3
Proteus mirabilis,AZTREONAM,IV,47,100,#N/A,3,3
Escherichia coli,CEFAZOLIN,IV,525,84,#N/A,1,4
Klebsiella pneumoniae,CEFAZOLIN,IV,113,96,#N/A,2,4
Proteus mirabilis,CEFAZOLIN,IV,47,96,#N/A,3,4
Escherichia coli,CEFTRIAXONE,IV,525,90,#N/A,1,5
Klebsiella pneumoniae,CEFTRIAXONE,IV,113,98,#N/A,2,5
Proteus mirabilis,CEFTRIAXONE,IV,47,100,#N/A,3,5
Escherichia coli,CEFIPIME,IV,525,91,#N/A,1,6
Klebsiella pneumoniae,CEFIPIME,IV,113,98,#N/A,2,6
Proteus mirabilis,CEFIPIME,IV,47,100,#N/A,3,6
Escherichia coli,CIPROFLOXACIN,IV/PO,525,81,#N/A,1,7
Klebsiella pneumoniae,CIPROFLOXACIN,IV/PO,113,99,#N/A,2,7
Proteus mirabilis,CIPROFLOXACIN,IV/PO,47,70,#N/A,3,7
Escherichia coli,GENTAMICIN,IV,525,91,#N/A,1,8
Klebsiella pneumoniae,GENTAMICIN,IV,113,99,#N/A,2,8
Proteus mirabilis,GENTAMICIN,IV,47,81,#N/A,3,8
Escherichia coli,IMIPENIM,IV,525,100,#N/A,1,9
Klebsiella pneumoniae,IMIPENIM,IV,113,99,#N/A,2,9
Escherichia coli,LEVOFLOXACIN,IV/PO,525,81,#N/A,1,10
Klebsiella pneumoniae,LEVOFLOXACIN,IV/PO,113,99,#N/A,2,10
Proteus mirabilis,LEVOFLOXACIN,IV/PO,47,77,#N/A,3,10
Escherichia coli,MEROPENEM,IV,525,100,#N/A,1,11
Klebsiella pneumoniae,MEROPENEM,IV,113,97,#N/A,2,11
Proteus mirabilis,MEROPENEM,IV,47,100,#N/A,3,11
Escherichia coli,NITROFURANTOIN,PO,525,95,#N/A,1,12
Klebsiella pneumoniae,NITROFURANTOIN,PO,113,29,#N/A,2,12
Escherichia coli,PIP/TAZOBACTAM,IV,525,96,#N/A,1,13
Klebsiella pneumoniae,PIP/TAZOBACTAM,IV,113,96,#N/A,2,13
Proteus mirabilis,PIP/TAZOBACTAM,IV,47,98,#N/A,3,13
Escherichia coli,TRIMETH/SUFLA,IV/PO,525,81,#N/A,1,14
Klebsiella pneumoniae,TRIMETH/SUFLA,IV/PO,113,97,#N/A,2,14
